"No","ID","EN name","KH name","province_id","province_en","province_kh","district_id","district_en","district_kh","district_id","commune_","commune_","commune"
"1","9001","Central Market","ផ្សារធំថ្មី","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120201","Phsar Thmei Ti Muoy","ផ្សារថ្មីទី ១"
"2","9002","Russian Market","ផ្សារទួលទំពូង","12","Phnom Penh","ភ្នំពេញ","1201","Chamkar Mon","ចំការមន","1201","120110","Tuol Tumpung Ti Muoy","ទួលទំពូងទី ១"
"3","9003","Orussey Market","ផ្សារអូរឫស្សី","12","Phnom Penh","ភ្នំពេញ","1203","Prampir Meakkakra","៧មករា","1203","120301","Ou Ruessei Ti Muoy","អូរឫស្សីទី ១"
"4","9004","Olympic Market","ផ្សារអូឡាំពិក","12","Phnom Penh","ភ្នំពេញ","1213","Boeng Keng Kang","បឹងកេងកង","1213","121304","Olympic","អូឡាំពិក"
"5","9005","Phnom Penh Night Market","ផ្សាររាត្រីភ្នំពេញ","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120211","Voat Phnum","វត្ដភ្នំ"
"6","9006","Psar Chas (Phnom Penh)","ផ្សារចាស់ (ភ្នំពេញ)","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120209","Phsar Chas","ផ្សារចាស់"
"7","9007","Phsar Leu Thom Thmey","ផ្សារលើធំថ្មី","17","Siemreap","សៀមរាប","1710","Siem Reap","សៀមរាប","1710","171009","Siem Reab","សៀមរាប"
"8","9008","Angkor Night Market","ផ្សាររាត្រីអង្គរ","17","Siemreap","សៀមរាប","1710","Siem Reap","សៀមរាប","1710","171009","Siem Reab","សៀមរាប"
"9","9009","Made in Cambodia Market","ផ្សារមេតអ៊ីនខេមបូឌា","17","Siemreap","សៀមរាប","1710","Siem Reap","សៀមរាប","1710","171009","Siem Reab","សៀមរាប"
"10","9010","Phsar Nath","ផ្សារណាត់","02","Battambang","Battambang","0203","Battambang","បាត់ដំបង","0203","020309","Ou Char","អូរចារ"
"11","9011","Boeung Chhouk Market","ផ្សារបឹងឈូក","02","Battambang","Battambang","0203","Battambang","បាត់ដំបង","0203","020309","Ou Char","អូរចារ"
"12","9012","Battambang Night Market","ផ្សាររាត្រីបាត់ដំបង","02","Battambang","Battambang","0203","Battambang","បាត់ដំបង","0203","020309","Ou Char","អូរចារ"
"13","9013","Phsar Leu Sihanoukville","ផ្សារលើក្រុងព្រះសីហនុ","18","Preah Sihanouk","ព្រះសីហនុ","1801","Preah Sihanouk","ព្រះសីហនុ","1801","120209","Phsar Chas","ផ្សារចាស់"
"14","9014","Phsar Krom","ផ្សារក្រោម","18","Preah Sihanouk","ព្រះសីហនុ","1801","Preah Sihanouk","ព្រះសីហនុ","1801","120209","Phsar Chas","ផ្សារចាស់"
"15","9015","Sihanoukville Market","ផ្សាររាត្រីក្រុងព្រះសីហនុ","18","Preah Sihanouk","ព្រះសីហនុ","1801","Preah Sihanouk","ព្រះសីហនុ","1801","120209","Phsar Chas","ផ្សារចាស់"
"16","9016","Kampot Market","ផ្សារសាមគ្គីកំពត","07","Kampot","កំពត","0708","Kampot","កំពត","0708","070805","Traeuy Kaoh","ត្រើយកោះ"
"17","9017","Kampot Night Market","ផ្សាររាត្រីកំពត","07","Kampot","កំពត","0708","Kampot","កំពត","0708","070805","Traeuy Kaoh","ត្រើយកោះ"
"18","9018","Kep Crab Market","ផ្សារក្តាម","23","Kep","កែប","2302","Kaeb","កែប","2302","230201","Kaeb","កែប"
"19","9019","Kep Market","ផ្សារកែប","23","Kep","កែប","2302","Kaeb","កែប","2302","230201","Kaeb","កែប"
"20","9020","Takhmao Market","ផ្សារតាខ្មៅ","08","Kandal","កណ្តាល","0811","Ta Khmau","តាខ្មៅ","0811","081104","Ta Khmao","តាខ្មៅ"
"21","9021","Kien Svay Market","ផ្សារគៀនស្វាយ","08","Kandal","កណ្តាល","0802","Kien Svay","កៀនស្វាយ","0802","080204","Kampong Svay","កំពង់ស្វាយ"
"22","9022","Arey Ksat Market","ផ្សារអរិយក្សត្រ","08","Kandal","កណ្តាល","0806","Lvea Aem","ល្វាឯម","0806","080606","Lvea Sar","ល្វាសរ"
"23","9023","Kampong Cham Market","ផ្សារធំកំពង់ចាម","03","Kampong Cham","កំពង់ចាម","0305","Kampong Cham","កំពង់ចាម","0305","030502","Kampong Cham","កំពង់ចាម"
"24","9024","Phsar Thom Kampong Cham","ផ្សារធំកំពង់ចាម","03","Kampong Cham","កំពង់ចាម","0305","Kampong Cham","កំពង់ចាម","0305","030502","Kampong Cham","កំពង់ចាម"
"25","9025","Skun Market","ផ្សារស្គន់","03","Kampong Cham","កំពង់ចាម","0303","Cheung Prey","ជើងព្រៃ","0303","030308","Soutib","សូទិព្វ"
"26","9026","Suong Market","ផ្សារសួង","25","Tboung Khmum","ត្បូងឃ្មុំ","2506","Suong","សួង","2506","250601","Suong","សួង"
"27","9027","Memot Market","ផ្សារមេមត់","25","Tboung Khmum","ត្បូងឃ្មុំ","2503","Memot","មេមត់","2503","250309","Memot","មេមត់"
"28","9028","Tboung Khmum Market","ផ្សារត្បូងឃ្មុំ","25","Tboung Khmum","ត្បូងឃ្មុំ","2507","Tboung Khmum","ត្បូងឃ្មុំ","2507","250702","Boeng Pruol","បឹងព្រួល"
