"location_type","location_id","name_en","name_kh","commune_kh","district_kh","province_kh","latitude","longitude","branch_id","source"
"village","01020101","Ou Thum","អូរធំ","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020102","Phnum","ភ្នំ","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020103","Banteay Neang","បន្ទាយនាង","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020104","Kouk Pnov","គោកព្នៅ","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020105","Trang","ត្រាង","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020106","Pongro","ពង្រ","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020107","Kouk Tonloab","គោកទន្លាប់","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020108","Trabaek","ត្របែក","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020109","Khilek","ឃីឡិក","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020110","Samraong Pen","សំរោងពេន","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020111","Dang Run Lech","ដងរុនលិច","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020112","Dang Run Kaeut","ដងរុនកើត","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020113","Ou Snguot","អូរស្ងួត","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020114","Prey Changha Lech","ព្រៃចង្ហាលិច","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020115","Prey Changha Kaeut","ព្រៃចង្ហាកើត","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020116","Ou Andoung Lech","អូរអណ្ដូងលិច","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020117","Ou Andoung Kandal","អូរអណ្ដូងកណ្ដាល","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020118","Ou Andoung Kaeut","អូរអណ្ដូងកើត","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
"village","01020119","Kouk Kduoch","គោកក្ដួច","បន្ទាយនាង","មង្គលបូរី","បន្ទាយមានជ័យ","","","","NCDD_2024"
