"province_code","province_en","province_kh","district_code","district_en","district_kh","commune_code","commune_en","commune_kh","village_code","village_en","village_kh"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020101","Ou Thum","អូរធំ"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020102","Phnum","ភ្នំ"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020103","Banteay Neang","បន្ទាយនាង"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020104","Kouk Pnov","គោកព្នៅ"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020105","Trang","ត្រាង"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020106","Pongro","ពង្រ"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020107","Kouk Tonloab","គោកទន្លាប់"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020108","Trabaek","ត្របែក"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020109","Khilek","ឃីឡិក"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020110","Samraong Pen","សំរោងពេន"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020111","Dang Run Lech","ដងរុនលិច"
"01","Banteay Meanchey","បន្ទាយមានជ័យ","0102","Mongkol Borei","មង្គលបូរី","010201","Banteay Neang","បន្ទាយនាង","01020112","Dang Run Kaeut","ដងរុនកើត"
