"id","branch_id","market","market_kh","province","province_kh","district","district_kh","commune","commune_kh","village","village_kh","latitude","longitude","google_maps_url"
"1","MON02","Kaev Seima Market","ផ្សារកែវសីមា","Mondul Kiri","មណ្ឌលគិរី","Kaev Seima","កែវសីមា","","","","","12.112367","106.886155","https://www.google.com/maps?q=12.112367,106.886155"
"2","MON","Kaoh Nheaek Market","ផ្សារកោះញែក","Mondul Kiri","មណ្ឌលគិរី","Kaoh Nheaek","កោះញែក","","","","","13.079141","107.0402","https://www.google.com/maps?q=13.079141,107.0402"
"3","KAM03","Tani Market","ផ្សារតានី","Kampot","កំពត","Angkor Chey","អង្គរជ័យ","Ankor Chey","អង្គរជ័យ","Angkor Chey Leu","អង្គរជ័យលើ","10.773671","104.661876","https://www.google.com/maps?q=10.773671,104.661876"
"4","KAM01","Samaki Market","ផ្សារសាមគ្គី","Kampot","កំពត","Kampot Municipality","ក្រុងកំពត","","","","","10.61534","104.180061","https://www.google.com/maps?q=10.61534,104.180061"
"5","KRA04","Sambour Market","ផ្សារសំបូរ","Kratie","ក្រចេះ","Sambour","សំបូរ","Sambour","សំបូរ","Sambour","សំបូរ","12.774901","105.964668","https://www.google.com/maps?q=12.774901,105.964668"
"6","KRA01","Kratie Market","ផ្សារក្រចេះ","Kratie","ក្រចេះ","Kracheh Municipality","ក្រុងក្រចេះ","Kracheh Sangkat","សង្កាត់ក្រចេះ","Kracheh","ក្រចេះ","12.484383","106.017797","https://www.google.com/maps?q=12.484383,106.017797"
"7","MON02","Ka3 Market","ផ្សារកាបី","Kratie","ក្រចេះ","Snuol","ស្នួល","Snuol","ស្នួល","Snuol Lech","ស្នួលលិច","12.13887","106.721222","https://www.google.com/maps?q=12.13887,106.721222"
"8","KRA03","Snuol Market","ផ្សារស្នួល","Kratie","ក្រចេះ","Snuol","ស្នួល","Snuol","ស្នួល","Snuol Lech","ស្នួលលិច","12.07564","106.421203","https://www.google.com/maps?q=12.07564,106.421203"
"9","KRA03","115 Market","ផ្សារ១១៥","Kratie","ក្រចេះ","Snuol","ស្នួល","Snuol","ស្នួល","Snuol Lech","ស្នួលលិច","12.129118","106.653876","https://www.google.com/maps?q=12.129118,106.653876"
"10","PRH01","Kampong Pranak","ផ្សារកំពង់ប្រណាក","Preah Vihear","ព្រះវិហារ","Preah Vihear Municipality","ក្រុងព្រះវិហារ","","","","","13.808539","104.978446","https://www.google.com/maps?q=13.808539,104.978446"
"11","MON","Pou Chrey Market","ផ្សារពោធិ៍ជ្រៃ","Mondul Kiri","មណ្ឌលគិរី","Pech Chreada","ពេជ្រាដា","Pu Chrey","ពូជ្រៃ","","","12.683793","107.218863","https://www.google.com/maps?q=12.683793,107.218863"
"12","KRA03","Phnom Prich Market","ផ្សារផនូម ព្រីច","Kratie","ក្រចេះ","Snuol","ស្នួល","Khsuem","ឃ្សឹម","","","12.294277","106.397923","https://www.google.com/maps?q=12.294277,106.397923"
